Condition,Week,CellType,Concentration,Units
Control,1,OB,0.011798048,pM
Control,1,OB,0.008774951,pM
Control,1,OB,0.006409442,pM
Control,1,OB,0.005005771,pM
Control,1,OB,0.011973859,pM
Control,1,OB,0.015940231,pM
Control,1,OB,0.005451566,pM
Control,1,OB,0.006906964,pM
Control,1,OB,0.008239744,pM
Control,1,OB,0.014935951,pM
Control,1,OB,0.010588013,pM
Control,1,OB,0.012550948,pM
Control,1,OB,0.009237019,pM
Control,1,OB,0.007698047,pM
Control,2,OB,0.013656544,pM
Control,2,OB,0.009665327,pM
Control,2,OB,0.00940009,pM
Control,2,OB,0.004696192,pM
Control,2,OB,0.006107107,pM
Control,2,OB,0.011614167,pM
Control,2,OB,0.027436401,pM
Control,2,OB,0.026463132,pM
Control,2,OB,0.01682262,pM
Control,2,OB,0.014157889,pM
Control,2,OB,0.003813063,pM
Control,2,OB,0.004508476,pM
Control,2,OB,0.007112625,pM
Control,2,OB,0.005566726,pM
Control,2,OB,0.005542865,pM
Control,2,OB,0.012915762,pM
Control,3,OB,0.014678513,pM
Control,3,OB,0.024538637,pM
Control,3,OB,0.008894744,pM
Control,3,OB,0.008500802,pM
Control,3,OB,0.004971316,pM
Control,3,OB,0.002736743,pM
Control,3,OB,0.009764344,pM
Control,3,OB,0.006637825,pM
Control,3,OB,0.006377069,pM
Control,3,OB,0.006728354,pM
Control,3,OB,0.01786749,pM
Control,3,OB,0.018352626,pM
Control,3,OB,0.013397469,pM
Control,3,OB,9.91E-03,pM
Tumor,1,OB,0.010235764,pM
Tumor,1,OB,0.011950589,pM
Tumor,1,OB,0.008232953,pM
Tumor,1,OB,0.010556988,pM
Tumor,1,OB,0.010957022,pM
Tumor,1,OB,0.012625203,pM
Tumor,1,OB,0.005146712,pM
Tumor,1,OB,0.006463664,pM
Tumor,1,OB,1.65E-02,pM
Tumor,1,OB,1.85E-02,pM
Tumor,2,OB,0.004446761,pM
Tumor,2,OB,0.005784324,pM
Tumor,2,OB,0.009062842,pM
Tumor,2,OB,0.005897307,pM
Tumor,2,OB,0.00726053,pM
Tumor,2,OB,0.006076585,pM
Tumor,2,OB,0.001439069,pM
Tumor,2,OB,0.001440122,pM
Tumor,2,OB,0.006244627,pM
Tumor,2,OB,0.002611478,pM
Tumor,2,OB,0.004368073,pM
Tumor,2,OB,0.006552,pM
Tumor,3,OB,0,pM
Tumor,3,OB,0,pM
Tumor,3,OB,0.006686232,pM
Tumor,3,OB,0.007508018,pM
Tumor,3,OB,0,pM
Tumor,3,OB,0,pM
Tumor,3,OB,0,pM
Tumor,3,OB,0,pM
Control,1,OC,0.001017717,pM
Control,1,OC,0.001594706,pM
Control,1,OC,0.000719387,pM
Control,1,OC,0.000579728,pM
Control,1,OC,0.000654178,pM
Control,1,OC,0.000366234,pM
Control,1,OC,0.000185882,pM
Control,1,OC,0.000434882,pM
Control,1,OC,0.001669501,pM
Control,1,OC,0.001455442,pM
Control,1,OC,0.000658087,pM
Control,1,OC,0.000181296,pM
Control,1,OC,0.000424351,pM
Control,1,OC,0.000522044,pM
Control,2,OC,0.000566347,pM
Control,2,OC,0,pM
Control,2,OC,0.001753338,pM
Control,2,OC,0.000552115,pM
Control,2,OC,0.001770293,pM
Control,2,OC,0.001110065,pM
Control,2,OC,0.000989503,pM
Control,2,OC,0.002126812,pM
Control,2,OC,0.001218813,pM
Control,2,OC,0.000815374,pM
Control,2,OC,0.000689488,pM
Control,2,OC,0.000630755,pM
Control,2,OC,0.001549797,pM
Control,2,OC,0.000695979,pM
Control,3,OC,0.00040225,pM
