observable,time,time_units,average,stderr,amount_units,expt_id
Bone_tot,0,day,100.0,5.0,relative % bone vol,Johnson2010 (PBS Tumor)
Bone_tot,7,day,103.3,5.0,relative % bone vol,Johnson2010 (PBS Tumor)
Bone_tot,14,day,96.0,5.0,relative % bone vol,Johnson2010 (PBS Tumor)
Bone_tot,21,day,86.6,5.0,relative % bone vol,Johnson2010 (PBS Tumor)
Bone_tot,28,day,75.9,5.0,relative % bone vol,Johnson2010 (PBS Tumor)
Bone_tot,0,day,100.0,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
Bone_tot,6,day,100.0,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
Bone_tot,7,day,121.8,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
Bone_tot,14,day,126.6,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
Bone_tot,21,day,135.3,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
Bone_tot,28,day,128.0,5.0,relative % bone vol,Johnson2011 (ZA Tumor)
