observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
Bone_tot,0,day,100.0,14.2,relative % bone vol,B,Johnson2011 (PBS-Tumor)
Bone_tot,7,day,103.3,17.7,relative % bone vol,B,Johnson2011 (PBS-Tumor)
Bone_tot,14,day,96.0,13.6,relative % bone vol,B,Johnson2011 (PBS-Tumor)
Bone_tot,21,day,86.6,13.6,relative % bone vol,B,Johnson2011 (PBS-Tumor)
Bone_tot,28,day,75.9,18.7,relative % bone vol,B,Johnson2011 (PBS-Tumor)
Tumor_tot,0,day,1.000,0.250,fM,B,Johnson2011 (PBS-Tumor)
Tumor_tot,7,da,2.502,0.625,fM,B,Johnson2011 (PBS-Tumor)
Tumor_tot,14,day,9.576,3.154,fM,B,Johnson2011 (PBS-Tumor)
Tumor_tot,21,day,12.328,2.545,fM,B,Johnson2011 (PBS-Tumor)
Tumor_tot,28,day,37.973,7.239,fM,B,Johnson2011 (PBS-Tumor)
Bone_tot,0,day,100.0,14.2,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Bone_tot,6,day,100.0,14.2,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Bone_tot,7,day,121.8,19.1,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Bone_tot,14,day,126.6,17.8,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Bone_tot,21,day,135.3,13.2,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Bone_tot,28,day,128.0,13.4,relative % bone vol,C,Johnson2011 (ZA-Tumor)
Tumor_tot,0,day,1.000,0.250,fM,C,Johnson2011 (ZA-Tumor)
Tumor_tot,7,day,1.974,0.500,fM,C,Johnson2011 (ZA-Tumor)
Tumor_tot,14,day,3.896,1.000,fM,C,Johnson2011 (ZA-Tumor)
Tumor_tot,21,day,7.691,2.000,fM,C,Johnson2011 (ZA-Tumor)
Tumor_tot,28,day,16.036,5.166,fM,C,Johnson2011 (ZA-Tumor)
Bone_tot,0,day,100.0,14.2,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
Bone_tot,6,day,100.0,14.2,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
Bone_tot,7,day,105.8,14.8,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
Bone_tot,14,day,115.9,14.6,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
Bone_tot,21,day,125.6,13.6,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
Bone_tot,28,day,126.5,15.1,relative % bone vol,D,Johnson2011 (ZA-NoTumor)
